,user_id,user_country,sex,height,weight,started,birth,ascent_id,grade_id,method_id,description,climb_type,date,year,name,crag,sector_id,sector,country,rating,user_recommended,score,fra_routes
22852,17224,PRT,0,171,63,2006,1982-04-16,837296,46,1,,0,1201388400,2008,Intuição primária,Guia,904,Farol,PRT,2,0,650,6c+
22856,17224,PRT,0,171,63,2006,1982-04-16,1386594,46,1,,0,1252792800,2009,Over the top,Guia,461,Escadas,PRT,3,0,650,6c+
22857,17224,PRT,0,171,63,2006,1982-04-16,1417353,46,3,,0,1255212000,2009,Salto imortal,Azoia,642,Cova mijona,PRT,3,1,650,6c+
22864,17432,PRT,0,180,68,2005,1979-11-28,710191,46,1,,0,1176501600,2007,Cova da mijona,Azoia,642,Cova mijona,PRT,0,0,650,6c+
22865,17731,PRT,0,178,58,2007,1989-10-25,1051493,46,1,,0,1222552800,2008,Via láctea,Guia,461,Degraus,PRT,3,1,650,6c+
22867,17731,PRT,0,178,58,2007,1989-10-25,1608640,46,1,,0,1274565600,2010,Nice girls don't climb,Fenda,810,Crocodilos,PRT,3,1,650,6c+
22870,18231,PRT,0,175,0,1995,1984-12-01,759393,46,4,,0,1190325600,2007,Levitação,Guia,461,Degraus,PRT,0,0,650,6c+
22871,18231,PRT,0,175,0,1995,1984-12-01,759394,46,4,,0,1190325600,2007,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
22872,18231,PRT,0,175,0,1995,1984-12-01,759395,46,4,,0,1190325600,2007,Over the top,Guia,461,Degraus,PRT,0,0,650,6c+
22877,18664,PRT,1,0,0,0,,983517,46,3,,0,1197068400,2007,Levitacao,Guia,0,,PRT,0,0,650,6c+
22878,18664,PRT,1,0,0,0,,984127,46,1,,0,1215468000,2008,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
22879,18664,PRT,1,0,0,0,,1191356,46,1,,0,1238108400,2009,Reforma educativa,Fenda,427,Carallon,PRT,3,0,650,6c+
22884,18664,PRT,1,0,0,0,,1443167,46,2,,0,1257462000,2009,Um bocadinho de hera,Fenda,427,Carallon,PRT,0,0,650,6c+
22885,18664,PRT,1,0,0,0,,1443168,46,1,,0,1257462000,2009,Limpógu,Fenda,1950,Carallon,PRT,0,0,650,6c+
22886,18664,PRT,1,0,0,0,,1498696,46,1,,0,1264460400,2010,Intuição primária,Guia,904,Farol,PRT,0,0,650,6c+
22887,18664,PRT,1,0,0,0,,1500188,46,1,,0,1264719600,2010,Over the top,Guia,0,Escadas,PRT,0,0,650,6c+
22908,19629,PRT,0,186,83,2005,1982-11-17,832314,46,1,,0,1198018800,2007,Levitacao,Guia,461,Degraus,PRT,3,0,650,6c+
22909,19629,PRT,0,186,83,2005,1982-11-17,832328,46,1,,0,1198018800,2007,Over the top,Guia,461,Degraus,PRT,3,0,650,6c+
22910,19629,PRT,0,186,83,2005,1982-11-17,862953,46,1,,0,1203980400,2008,Via láctea,Guia,461,Degraus,PRT,3,1,650,6c+
22912,19629,PRT,0,186,83,2005,1982-11-17,918088,46,3,,0,1210024800,2008,Intuição primária,Guia,904,Farol,PRT,3,0,650,6c+
22914,19629,PRT,0,186,83,2005,1982-11-17,1625009,46,1,,0,1275688800,2010,Mango e meio,Meio mango,0,,PRT,3,1,650,6c+
22921,19629,PRT,0,186,83,2005,1982-11-17,1796259,46,3,,0,1288130400,2010,"Amanda, uma espécie de dinâmico",Meio mango,1966,Baía,PRT,3,0,650,6c+
22922,19629,PRT,0,186,83,2005,1982-11-17,1796260,46,2,,0,1288130400,2010,Cheira tops,Meio mango,1966,Baía,PRT,2,0,650,6c+
22923,19629,PRT,0,186,83,2005,1982-11-17,1826658,46,3,,0,1290639600,2010,Salmoura espichel,Meio mango,694,Poças,PRT,3,1,650,6c+
22925,19629,PRT,0,186,83,2005,1982-11-17,2042692,46,1,,0,1308434400,2011,Reforma educativa,Fenda,427,Carallon,PRT,3,0,650,6c+
22926,19753,ESP,0,175,68,0,1971-07-31,930080,46,3,,0,1198969200,2007,Reforma educativa,Fenda,427,Carallon,PRT,2,0,650,6c+
22927,19807,PRT,0,178,63,2005,1983-07-03,839245,46,1,,0,1201647600,2008,Festa da laranja,Azoia,0,,PRT,0,0,650,6c+
22935,20055,PRT,0,178,68,2005,1983-03-05,851642,46,1,,0,1203375600,2008,Intuição primária,Guia,904,Farol,PRT,2,0,650,6c+
22946,20055,PRT,0,178,68,2005,1983-03-05,3034374,46,1,,0,1378418400,2013,Via lactea,Guia,461,Degraus,PRT,3,0,650,6c+
22947,20055,PRT,0,178,68,2005,1983-03-05,3043231,46,1,,0,1378936800,2013,Levitação,Guia,461,Degraus,PRT,0,0,650,6c+
22964,20057,ESP,0,182,63,2007,1985-03-11,1547746,46,2,,0,1270332000,2010,Levitaçao,Guia,461,Degraus,PRT,3,0,650,6c+
22965,20057,ESP,0,182,63,2007,1985-03-11,1547747,46,3,,0,1270332000,2010,Over the top,Guia,461,Degraus,PRT,3,1,650,6c+
22966,20327,PRT,0,175,63,1996,1981-08-24,1043012,46,3,,0,1221861600,2008,Salto imortal,Azoia,642,Cova mijona,PRT,3,0,650,6c+
22973,20859,PRT,0,181,68,2007,1976-06-10,963523,46,4,,0,1214431200,2008,Levitação,Guia,0,Escadas,PRT,0,0,650,6c+
22974,20859,PRT,0,181,68,2007,1976-06-10,968119,46,4,,0,1214949600,2008,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
22977,20950,PRT,0,174,63,2008,1987-03-24,972826,46,3,,0,1215468000,2008,Via láctea,Guia,461,Degraus,PRT,1,0,650,6c+
22978,20950,PRT,0,174,63,2008,1987-03-24,1028133,46,3,,0,1220306400,2008,Over the top,Guia,461,Degraus,PRT,1,0,650,6c+
22979,20950,PRT,0,174,63,2008,1987-03-24,1029976,46,1,,0,1220392800,2008,Levitação,Guia,461,Degraus,PRT,3,0,650,6c+
22984,20950,PRT,0,174,63,2008,1987-03-24,1151747,46,1,,0,1233961200,2009,Intuição primária,Guia,904,Farol,PRT,3,0,650,6c+
22985,20950,PRT,0,174,63,2008,1987-03-24,1165782,46,1,,0,1235862000,2009,Salto imortal,Azoia,642,Cova mijona,PRT,3,0,650,6c+
22986,20950,PRT,0,174,63,2008,1987-03-24,1252396,46,1,,0,1242511200,2009,Nice girls don't climb,Fenda,810,Crocodilos,PRT,3,0,650,6c+
22990,20950,PRT,0,174,63,2008,1987-03-24,1434007,46,1,,0,1256598000,2009,Limpógu,Fenda,1950,Carallon,PRT,3,0,650,6c+
22992,20950,PRT,0,174,63,2008,1987-03-24,1443166,46,2,,0,1257462000,2009,Um bocadinho de hera,Fenda,427,Carallon,PRT,1,0,650,6c+
22998,20950,PRT,0,174,63,2008,1987-03-24,1769249,46,1,,0,1286229600,2010,Reforma educativa,Fenda,427,Carallon,PRT,0,0,650,6c+
22999,20950,PRT,0,174,63,2008,1987-03-24,1796439,46,1,,0,1288130400,2010,"Amanda, uma espécie de dinâmico",Meio mango,0,,PRT,3,0,650,6c+
23000,20950,PRT,0,174,63,2008,1987-03-24,1840290,46,3,,0,1292367600,2010,Salmoura espichel,Meio mango,694,Poças,PRT,3,0,650,6c+
23007,21133,PRT,0,176,68,2005,1976-02-12,968742,46,3,,0,1214949600,2008,Intuição primária,Guia,904,Farol,PRT,0,0,650,6c+
23015,21133,PRT,0,176,68,2005,1976-02-12,1161747,46,3,,0,1235343600,2009,Salto imortal,Azoia,642,Cova mijona,PRT,0,0,650,6c+
23017,21133,PRT,0,176,68,2005,1976-02-12,1536832,46,3,,0,1269298800,2010,Levitação,Guia,461,Escadas,PRT,0,0,650,6c+
23018,21133,PRT,0,176,68,2005,1976-02-12,1536837,46,3,,0,1269298800,2010,Over the top,Guia,461,Escadas,PRT,0,0,650,6c+
23019,21133,PRT,0,176,68,2005,1976-02-12,1607818,46,3,,0,1274306400,2010,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
23023,21242,PRT,0,180,73,2007,1985-12-19,948819,46,1,,0,1212876000,2008,Levitação,Guia,0,Escadas,PRT,0,0,650,6c+
23024,21242,PRT,0,180,73,2007,1985-12-19,1545773,46,1,,0,1270245600,2010,Intuição primária,Guia,904,Farol,PRT,0,0,650,6c+
23025,21242,PRT,0,180,73,2007,1985-12-19,1547668,46,1,,0,1270418400,2010,Over the top,Guia,0,,PRT,0,0,650,6c+
23026,21346,PRT,0,173,63,2007,1983-10-20,945900,46,1,,0,1211234400,2008,Intuição primária,Guia,904,Farol,PRT,2,0,650,6c+
23027,21346,PRT,0,173,63,2007,1983-10-20,952277,46,1,,0,1213221600,2008,Levitação,Guia,0,Escadas,PRT,3,0,650,6c+
23028,21346,PRT,0,173,63,2007,1983-10-20,967813,46,1,,0,1214949600,2008,Via láctea,Guia,461,Degraus,PRT,3,0,650,6c+
23029,21346,PRT,0,173,63,2007,1983-10-20,967814,46,1,,0,1214949600,2008,Over the top,Guia,0,,PRT,3,0,650,6c+
23035,21369,PRT,0,184,0,0,1988-03-06,1826756,46,3,,0,1290726000,2010,Salmoura espichel,Meio mango,694,Poças,PRT,3,0,650,6c+
